"id","item_id","monster_id","is_members","quantity","is_noted","rarity"
0,1623,1,True,"1",False,0.013671875
1,1621,1,True,"1",False,0.0068359375
2,1619,1,True,"1",False,0.00341796875
3,1452,1,True,"1",False,0.0012816381532692756
4,1617,1,True,"1",False,0.0008544921875
5,830,1,True,"5",False,0.00042724609375
6,987,1,True,"1",False,0.00042724609375
7,1247,1,True,"1",False,2.6702880859375e-05
8,2366,1,True,"1",False,1.33514404296875e-05
9,1249,1,True,"1",False,1.0012798072416216e-05
10,526,1,False,"1",False,1.0
11,205,1,True,"1",False,0.0273224043715847
12,207,1,True,"1",False,0.021505376344086023
13,209,1,True,"1",False,0.015625
14,211,1,True,"1",False,0.011723329425556858
15,213,1,True,"1",False,0.009765625
16,215,1,True,"1",False,0.0078125
17,2485,1,True,"1",False,0.005858230814294083
18,10978,1,True,"1-4",False,0.2890625
19,10978,1,True,"5-8",False,0.078125
20,555,1,False,"1-14",False,0.078125
21,995,1,False,"1-75",False,0.078125
22,557,1,False,"1-20",False,0.078125
23,561,1,False,"1-5",False,0.0234375
24,564,1,False,"1-7",False,0.0390625
25,4698,1,True,"1-15",False,0.015625
26,199,1,True,"1",False,0.0625
27,201,1,True,"1",False,0.046948356807511735
28,203,1,True,"1",False,0.035211267605633804
29,1623,2,True,"1",False,0.009765625
30,1621,2,True,"1",False,0.0048828125
31,1619,2,True,"1",False,0.00244140625
32,1452,2,True,"1",False,0.0009154558237637684
33,1617,2,True,"1",False,0.0006103515625
34,830,2,True,"5",False,0.00030517578125
35,987,2,True,"1",False,0.00030517578125
36,1247,2,True,"1",False,1.9073486328125e-05
37,2366,2,True,"1",False,9.5367431640625e-06
38,1249,2,True,"1",False,7.1519986231544404e-06
39,1353,2,False,"1",False,0.0234375
40,205,2,True,"1-3",False,0.06666666666666667
41,207,2,True,"1-3",False,0.05235602094240838
42,209,2,True,"1-3",False,0.03802281368821293
43,211,2,True,"1-3",False,0.02857142857142857
44,213,2,True,"1-3",False,0.023809523809523808
45,215,2,True,"1-3",False,0.01904761904761905
46,2485,2,True,"1-3",False,0.014285714285714285
47,5296,2,True,"1",False,0.029585798816568046
48,5297,2,True,"1",False,0.02012072434607646
49,1197,2,False,"1",False,0.0078125
50,5281,2,True,"1",False,0.01949317738791423
